State,"VEP Total Ballots Counted","VEP Highest Office","VAP Highest Office","% Non-citizen","% in labor force","percent below poverty level",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country
New Hampshire,72.50%,71.70%,69.60%,2.60%,71.10%,5.00%,43.672691,-71.584315,1,state,,,,NH,,,US
New Jersey,67.70%,67.00%,58.20%,11.70%,68.00%,6.20%,40.107274,-74.665201,1,state,,,,NJ,,,US
New Mexico,61.20%,60.90%,55.10%,8.30%,63.00%,12.60%,34.434684,-106.131618,1,state,,,,NM,,,US
New York,59.60%,59.00%,51.40%,12.40%,64.60%,10.30%,40.68863,-74.018244,1,place,,,"New York",NY,"New York County",10004,US
North Carolina,66.10%,65.50%,60.70%,5.90%,66.30%,10.90%,35.53971,-79.130864,1,state,,,,NC,,,US
North Dakota,63.60%,62.70%,61.70%,1.30%,71.00%,7.90%,47.44217,-100.460816,1,state,,,,ND,,,US
Ohio,67.80%,66.90%,65.10%,2.20%,66.00%,9.80%,40.41493,-82.711998,1,state,,,,OH,,,US
Oklahoma,56.30%,55.80%,52.80%,4.00%,63.90%,11.80%,35.590051,-97.486815,1,state,,,,OK,,,US
Oregon,68.30%,67.70%,62.70%,6.90%,65.30%,9.60%,43.971713,-120.622958,1,state,,,,OR,,,US
Pennsylvania,64.20%,63.60%,61.30%,3.10%,64.00%,8.50%,40.902496,-77.833451,1,state,,,,PA,,,US
Rhode Island,62.30%,61.80%,57.10%,7.00%,66.70%,7.70%,41.597419,-71.527272,1,state,,,,RI,,,US
South Carolina,58.20%,58.00%,55.30%,3.40%,62.90%,11.60%,33.874177,-80.85427,1,state,,,,SC,,,US
South Dakota,65.60%,64.70%,63.40%,1.20%,70.60%,8.20%,44.446796,-100.238176,1,state,,,,SD,,,US
Tennessee,57.40%,57.00%,54.50%,3.10%,64.30%,11.60%,35.858564,-86.349357,1,state,,,,TN,,,US
Texas,,54.10%,45.50%,13.50%,66.60%,12.40%,31.434703,-99.281824,1,state,,,,TX,,,US
Utah,57.10%,56.00%,51.80%,7.20%,70.00%,6.60%,39.334993,-111.656333,1,state,,,,UT,,,US
Vermont,67.70%,67.30%,66.00%,2.00%,70.10%,6.50%,44.060542,-72.673307,1,state,,,,VT,,,US
Virginia,67.60%,67.00%,61.80%,6.60%,68.50%,7.30%,37.522251,-78.668194,1,state,,,,VA,,,US
Washington,67.30%,66.60%,60.30%,7.80%,67.00%,7.70%,47.407324,-120.5758,1,state,,,,WA,,,US
West Virginia,51.20%,49.90%,49.10%,0.80%,56.50%,12.40%,38.647285,-80.618327,1,state,,,,WV,,,US
Wisconsin,72.70%,72.40%,69.30%,3.00%,70.00%,6.70%,44.630907,-89.709392,1,state,,,,WI,,,US
Wyoming,63.10%,62.80%,60.90%,1.70%,70.70%,5.70%,42.991802,-107.541926,1,state,,,,WY,,,US
